"Abrev";"all_species";"Planted";"LMA";"Height";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Woody";"Undesired";"X1";"X3";"X4";"X6";"X7";"X8";"X9";"X10";"X11";"X13";"X14";"X16";"X17";"X19";"X20";"X21";"X22";"X27";"X28";"X29";"X30";"X36";"X37";"X38";"X39";"X43";"X44";"X45";"X46";"X47";"X48";"X51";"X52";"X53";"X55";"X56";"X57";"X58";"X60";"X61";"X62";"X63";"X65";"X69";"X71";"X74";"X75";"X76";"X79";"X80";"X1VN";"X3.1VN";"X3.2VN";"X4VN";"X5.1VN";"X5.2VN";"X6VN";"CTM1";"CTM2";"CTM3";"CTM4";"CTM5";"CTM6";"PE10";"PE11";"PE13.1";"PE13.2";"PE14";"PE20";"UECN1";"UECN2";"UECN3";"UECR1";"UECR2";"UECR3";"UEMA1";"UEMA2";"UEMA3"
"Ccris";"Cistus crispus";0;0,108790252393386;26;4;1;0;0;1;0;0;0,020299239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cmons";"Cistus monspeliensis";0;0,167500175456434;170;4;1;0;0;1;0;0;0;0;0;0;0;0,01726894;0;0;0;0,009165491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00232306;0,024006778;0,046285123;0,020598737;0;0,020108586;0,028504254;0;0;0;0;0;0;0,009601844;0,053496503;0;0,067959583;0;0;0;0;0;0
"Csalv";"Cistus salviifolius";0;0,0952380952380952;170;4;1;0;0;1;0;0,052629752;0,077309866;0;0;0,017252451;0;0,108826904;0,000178242;0,017675939;0,013114336;0,014664786;0;0;0;0;0;0;0,073770492;0;0;0;0;0,026290638;0;0;0;0,012388731;0;0;0;0;0;0;0;0,012065961;0;0;0;0;0,004606303;0;0,009101942;0;0;0,033169533;0;0;0,063989785;0;0;0,082824477;0;0;0;0;0;0;0;0;0;0;0;0,032807293;0;0;0;0;0;0,010827611;0;0,01618414;0;0,012356967;0,003246844;0,004783776;0;0;0
"Comp";"Plant_NI";0;0,045944311818531;44;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027464982;0;0;0;0;0;0,006149991;0,004732183;0,015972568;0;0;0;0;0;0,005616803;0;0;0;0,012808559;0
"Calth";"Convolvulus althaeoides";0;0,0517946858652302;16,125;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018518519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009606419;0
"Carve";"Convolvulus arvensis";0;0,0538793103448276;8,667;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,155446058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04206501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cvale";"Coronilla valentina";0;0,0790513833992095;220;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,043575419;0;0;0;0;0;0,087325652;0;0,027779706;0;0,028043347;0;0;0,038546832;0,24419565;0,057113188;0;0;0;0;0;0;0,126290387;0,265850144;0,237804878;0;0;0,027944903;0;0,039441748;0,1488;0;0,008845209;0,004684204;0,032381103;0,102720445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,068572403;0,122326933;0;0;0,038815965;0;0;0;0;0;0;0,226512911;0;0
"Ccapi";"Crepis capillaris";0;0,0355871886120996;19,73225806;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,036385688;0;0;0;0;0;0,166336634;0;0,016518308;0,038075459;0;0;0;0;0;0;0;0;0;0,006315623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Crepi";"Crepis sp.";0;0,0332118774973256;22,239;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0,00937675;0;0;0;0;0;0;0;0;0;0;0;0;0,004673891;0;0;0;0;0;0;0;0;0;0;0;0,010725298;0,043227666;0;0;0;0;0;0;0,0064;0;0;0,001561401;0;0;0;0;0,029881772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dglom";"Dactylis glomerata";1;0,0384615384615385;55,2;5;0;0;1;0;0;0;0;0,204136765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,080906149;0;0;0,095823096;0,010929809;0;0,003742093;0;0;0;0;0;0;0;0;0;0;0;0;0,060325759;0,156191677;0;0;0,030749956;0;0;0;0;0;0;0;0;0;0;0;0;0
